Year,Month,Transect,Station,Upper100mTemp
2004,8,Newport Hydrographic,NH01,10.33054449
2004,8,Newport Hydrographic,NH03,9.43437869
2004,8,Newport Hydrographic,NH05,9.55491416
2004,8,Newport Hydrographic,NH10,9.183553561
2004,8,Newport Hydrographic,NH15,8.891803995
2004,8,Newport Hydrographic,NH20,8.965999828
2004,8,Newport Hydrographic,NH25,9.115232118
2004,9,Newport Hydrographic,NH01,13.80245888
2004,9,Newport Hydrographic,NH03,9.675575799
2004,9,Newport Hydrographic,NH05,9.451631804
2004,9,Newport Hydrographic,NH10,9.046211466
2004,9,Newport Hydrographic,NH15,9.101386418
2004,9,Newport Hydrographic,NH20,9.053185676
2004,9,Newport Hydrographic,NH25,9.368082579
2004,10,Newport Hydrographic,NH01,11.00713119
2004,10,Newport Hydrographic,NH03,10.55767692
2004,10,Newport Hydrographic,NH05,10.76315263
2004,10,Newport Hydrographic,NH10,10.22258667
2004,10,Newport Hydrographic,NH15,9.698279975
2004,10,Newport Hydrographic,NH20,9.501777552
2004,10,Newport Hydrographic,NH25,9.703538758
2004,11,Newport Hydrographic,NH01,10.79529379
2004,11,Newport Hydrographic,NH03,10.05721612
