"scientific_name","New_Decade","unshift_ct","ct_anomaly_months","ct_anomaly_days","group.5","group.3","season"
"Merluccius productus","2015",1.72933549922785,-0.350739516825409,-10.6765108921655,"earlier","earlier","fall_winter"
"Microstomus pacificus","1955",5.15122256182273,-0.201730481208215,-6.14067584797807,"no_change","earlier","spring_summer"
"Microstomus pacificus","1965",5.75728155339806,0.404328510367115,12.307759855575,"no_change","earlier","spring_summer"
"Microstomus pacificus","1975",5.78967971990026,0.436726676869315,13.293960043902,"no_change","earlier","spring_summer"
"Microstomus pacificus","1985",5.03971715750777,-0.313235885523169,-9.53490035532527,"no_change","earlier","spring_summer"
"Microstomus pacificus","1995",5.77623551918278,0.423282476151838,12.884718574062,"no_change","earlier","spring_summer"
"Microstomus pacificus","2005",4.83421002860547,-0.518743014425469,-15.7905373591113,"no_change","earlier","spring_summer"
"Microstomus pacificus","2015",5.12232476079953,-0.230628282231414,-7.02032491112423,"no_change","earlier","spring_summer"
"Nansenia candida","1955",4.71337028056806,0.124115191466749,3.77806642824784,"earlier","earlier","spring_summer"
"Nansenia candida","1965",4.92920289855072,0.33994780944941,10.34801131964,"earlier","earlier","spring_summer"
"Nansenia candida","1975",4.78088593097217,0.191630841870857,5.83324282654887,"earlier","earlier","spring_summer"
"Nansenia candida","1985",4.53321780974373,-0.0560372793575832,-1.70577478364483,"earlier","earlier","spring_summer"
"Nansenia candida","1995",4.55341602941225,-0.035839059689069,-1.09094097693526,"earlier","earlier","spring_summer"
"Nansenia candida","2005",4.24325507512224,-0.34600001397907,-10.5322404255229,"earlier","earlier","spring_summer"
"Nansenia candida","2015",4.37143759934002,-0.21781748976129,-6.63036438833368,"earlier","earlier","spring_summer"
"Notolychnus valdiviae","1965",6.38904363974002,0.61231791906938,18.6389574564719,"earlier","earlier","spring_summer"
"Notolychnus valdiviae","1985",5.91102637591396,0.134300655243317,4.08811194560657,"earlier","earlier","spring_summer"
"Notolychnus valdiviae","1995",6.9247997670016,1.14807404633096,34.9473739703145,"earlier","earlier","spring_summer"
